#bank
id;name;phone;email;address
1;bank1;phone1;bank1@bank.com;some_street1
2;bank2;phone2;bank2@bank.com;some_street2
3;bank3;phone3;bank3@bank.com;some_street3
4;bank4;phone4;bank4@bank.com;some_street4
5;bank5;phone5;bank5@bank.com;some_street5
6;bank6;phone6;bank6@bank.com;some_street6
7;bank7;phone7;bank7@bank.com;some_street7
8;bank8;phone8;bank8@bank.com;some_street8
9;bank9;phone9;bank9@bank.com;some_street9
10;bank10;phone10;bank10@bank.com;some_street10
11;bank11;phone11;bank11@bank.com;some_street11
12;bank12;phone12;bank12@bank.com;some_street12
13;bank13;phone13;bank13@bank.com;some_street13
14;bank14;phone14;bank14@bank.com;some_street14
15;bank15;phone15;bank15@bank.com;some_street15
16;bank16;phone16;bank16@bank.com;some_street16
17;bank17;phone17;bank17@bank.com;some_street17
18;bank18;phone18;bank18@bank.com;some_street18
19;bank19;phone19;bank19@bank.com;some_street19
20;bank20;phone20;bank20@bank.com;some_street20
21;bank21;phone21;bank21@bank.com;some_street21
22;bank22;phone22;bank22@bank.com;some_street22
23;bank23;phone23;bank23@bank.com;some_street23
24;bank24;phone24;bank24@bank.com;some_street24
25;bank25;phone25;bank25@bank.com;some_street25
26;bank26;phone26;bank26@bank.com;some_street26
27;bank27;phone27;bank27@bank.com;some_street27
28;bank28;phone28;bank28@bank.com;some_street28
29;bank29;phone29;bank29@bank.com;some_street29
30;bank30;phone30;bank30@bank.com;some_street30
31;bank31;phone31;bank31@bank.com;some_street31
32;bank32;phone32;bank32@bank.com;some_street32
33;bank33;phone33;bank33@bank.com;some_street33
34;bank34;phone34;bank34@bank.com;some_street34
35;bank35;phone35;bank35@bank.com;some_street35
36;bank36;phone36;bank36@bank.com;some_street36
37;bank37;phone37;bank37@bank.com;some_street37
38;bank38;phone38;bank38@bank.com;some_street38
39;bank39;phone39;bank39@bank.com;some_street39
40;bank40;phone40;bank40@bank.com;some_street40
41;bank41;phone41;bank41@bank.com;some_street41
42;bank42;phone42;bank42@bank.com;some_street42
43;bank43;phone43;bank43@bank.com;some_street43
44;bank44;phone44;bank44@bank.com;some_street44
45;bank45;phone45;bank45@bank.com;some_street45
46;bank46;phone46;bank46@bank.com;some_street46
47;bank47;phone47;bank47@bank.com;some_street47
48;bank48;phone48;bank48@bank.com;some_street48
49;bank49;phone49;bank49@bank.com;some_street49
50;bank50;phone50;bank50@bank.com;some_street50
51;bank51;phone51;bank51@bank.com;some_street51
